EXPERIMENTALCONDITION,PARTICIPANTID,COMPUTERID,EXPERIMENT,DPS,BLOCKDP,DP,ABSORDER,RELORDER,DATE,TIME,NDESCRIPTIVETRIALS,LEARNINGMODE,PREFERREDROUTE,CONTROLROUTE_C,TREATMENTROUTE_T,PREFERREDDIRECTION,CONTROLALTERNATIVE_C,TREATMENTALTERNATIVE_T,PREFERREDALTERNATIVE_T
descriptiveTreatmentCondition1,62,B00,3,6,2,10,8,8,18072017,170441,4,halfRandom,treatment,counterclockwise,clockwise,clockwise,A,B,B
descriptiveTreatmentCondition1,62,B00,2,6,3,5,9,9,18072017,170445,4,halfRandom,control,clockwise,counterclockwise,clockwise,A,B,A
descriptiveTreatmentCondition1,62,B00,3,6,5,13,10,10,18072017,170455,4,halfRandom,treatment,clockwise,counterclockwise,counterclockwise,B,A,A
descriptiveTreatmentCondition1,62,B00,2,6,5,7,11,11,18072017,170459,4,halfRandom,treatment,clockwise,counterclockwise,counterclockwise,B,A,A
descriptiveTreatmentCondition1,62,B00,2,6,2,4,12,12,18072017,170502,4,halfRandom,control,counterclockwise,clockwise,counterclockwise,B,A,B
descriptiveTreatmentCondition1,62,B00,1,2,1,1,13,13,18072017,170513,4,halfRandom,control,counterclockwise,clockwise,counterclockwise,B,A,B
descriptiveTreatmentCondition1,62,B00,3,6,1,9,14,14,18072017,170523,4,halfRandom,control,counterclockwise,clockwise,counterclockwise,B,A,B
descriptiveControl,61,A00,3,6,6,14,1,1,18072017,165355,4,halfRandom,control,counterclockwise,clockwise,counterclockwise,A,B,A
descriptiveControl,61,A00,1,2,1,1,2,2,18072017,165403,4,halfRandom,control,clockwise,counterclockwise,clockwise,A,B,A
descriptiveControl,61,A00,3,6,2,10,3,3,18072017,165411,4,halfRandom,treatment,clockwise,counterclockwise,counterclockwise,B,A,A
descriptiveControl,61,A00,3,6,5,13,4,4,18072017,165423,4,halfRandom,control,counterclockwise,clockwise,counterclockwise,B,A,B
descriptiveControl,61,A00,2,6,2,4,5,5,18072017,165433,4,halfRandom,control,clockwise,counterclockwise,clockwise,A,B,A
descriptiveControl,61,A00,2,6,1,3,6,6,18072017,165442,4,halfRandom,control,counterclockwise,clockwise,counterclockwise,B,A,B
descriptiveControl,61,A00,3,6,3,11,7,7,18072017,165454,4,halfRandom,control,counterclockwise,clockwise,counterclockwise,A,B,A
descriptiveControl,61,A00,3,6,4,12,8,8,18072017,165512,4,halfRandom,control,counterclockwise,clockwise,counterclockwise,A,B,A
descriptiveControl,61,A00,3,6,1,9,9,9,18072017,165519,4,halfRandom,control,clockwise,counterclockwise,clockwise,B,A,B
descriptiveControl,61,A00,2,6,4,6,10,10,18072017,165524,4,halfRandom,treatment,counterclockwise,clockwise,clockwise,B,A,A
descriptiveControl,61,A00,1,2,2,2,11,11,18072017,165527,4,halfRandom,control,counterclockwise,clockwise,counterclockwise,B,A,B
descriptiveControl,61,A00,2,6,3,5,12,12,18072017,165530,4,halfRandom,treatment,clockwise,counterclockwise,counterclockwise,B,A,A
descriptiveControl,61,A00,2,6,6,8,13,13,18072017,165534,4,halfRandom,control,clockwise,counterclockwise,clockwise,A,B,A
descriptiveControl,61,A00,2,6,5,7,14,14,18072017,165537,4,halfRandom,control,counterclockwise,clockwise,counterclockwise,A,B,A
descriptiveTreatmentCondition1,60,F00,2,6,2,4,1,1,18072017,153322,4,halfRandom,control,counterclockwise,clockwise,counterclockwise,B,A,B
descriptiveTreatmentCondition1,60,F00,3,6,4,12,2,2,18072017,153337,4,halfRandom,treatment,clockwise,counterclockwise,counterclockwise,A,B,B
descriptiveTreatmentCondition1,60,F00,3,6,3,11,3,3,18072017,153406,4,halfRandom,treatment,counterclockwise,clockwise,clockwise,B,A,A
descriptiveTreatmentCondition1,60,F00,2,6,6,8,4,4,18072017,153409,4,halfRandom,treatment,counterclockwise,clockwise,clockwise,B,A,A
descriptiveTreatmentCondition1,60,F00,3,6,1,9,5,5,18072017,153416,4,halfRandom,control,counterclockwise,clockwise,counterclockwise,B,A,B
descriptiveTreatmentCondition1,60,F00,1,2,1,1,6,6,18072017,153419,4,halfRandom,control,counterclockwise,clockwise,counterclockwise,B,A,B
descriptiveTreatmentCondition1,60,F00,2,6,1,3,7,7,18072017,153421,4,halfRandom,control,counterclockwise,clockwise,counterclockwise,B,A,B
descriptiveTreatmentCondition1,60,F00,3,6,2,10,8,8,18072017,153429,4,halfRandom,control,clockwise,counterclockwise,clockwise,A,B,A
descriptiveTreatmentCondition1,60,F00,2,6,4,6,9,9,18072017,153434,4,halfRandom,control,counterclockwise,clockwise,counterclockwise,B,A,B
descriptiveTreatmentCondition1,60,F00,1,2,2,2,10,10,18072017,153438,4,halfRandom,control,counterclockwise,clockwise,counterclockwise,B,A,B
descriptiveTreatmentCondition1,60,F00,3,6,6,14,11,11,18072017,153444,4,halfRandom,control,clockwise,counterclockwise,clockwise,A,B,A
descriptiveTreatmentCondition1,60,F00,2,6,3,5,12,12,18072017,153447,4,halfRandom,control,clockwise,counterclockwise,clockwise,A,B,A
descriptiveTreatmentCondition1,60,F00,2,6,5,7,13,13,18072017,153449,4,halfRandom,treatment,counterclockwise,clockwise,clockwise,B,A,A
descriptiveTreatmentCondition1,60,F00,3,6,5,13,14,14,18072017,153453,4,halfRandom,treatment,counterclockwise,clockwise,clockwise,A,B,B
descriptiveControl,59,C00,1,2,1,1,1,1,18072017,153752,4,halfRandom,control,clockwise,counterclockwise,clockwise,B,A,B
descriptiveControl,59,C00,3,6,3,11,2,2,18072017,153822,4,halfRandom,treatment,counterclockwise,clockwise,clockwise,B,A,A
descriptiveControl,59,C00,1,2,2,2,3,3,18072017,153829,4,halfRandom,control,clockwise,counterclockwise,clockwise,B,A,B
descriptiveControl,59,C00,3,6,4,12,4,4,18072017,153848,4,halfRandom,treatment,clockwise,counterclockwise,counterclockwise,B,A,A
descriptiveControl,59,C00,2,6,3,5,5,5,18072017,153906,4,halfRandom,treatment,counterclockwise,clockwise,clockwise,B,A,A
descriptiveControl,59,C00,2,6,6,8,6,6,18072017,153943,4,halfRandom,control,clockwise,counterclockwise,clockwise,B,A,B
descriptiveControl,59,C00,2,6,1,3,7,7,18072017,153953,4,halfRandom,control,clockwise,counterclockwise,clockwise,B,A,B
descriptiveControl,59,C00,2,6,4,6,8,8,18072017,154011,4,halfRandom,treatment,clockwise,counterclockwise,counterclockwise,A,B,B
descriptiveControl,59,C00,3,6,5,13,9,9,18072017,154024,4,halfRandom,control,clockwise,counterclockwise,clockwise,B,A,B
descriptiveControl,59,C00,3,6,2,10,10,10,18072017,154031,4,halfRandom,control,clockwise,counterclockwise,clockwise,B,A,B
descriptiveControl,59,C00,2,6,5,7,11,11,18072017,154037,4,halfRandom,control,clockwise,counterclockwise,clockwise,B,A,B
descriptiveControl,59,C00,3,6,1,9,12,12,18072017,154055,4,halfRandom,treatment,clockwise,counterclockwise,counterclockwise,A,B,B
descriptiveControl,59,C00,3,6,6,14,13,13,18072017,154104,4,halfRandom,treatment,clockwise,counterclockwise,counterclockwise,A,B,B
descriptiveControl,59,C00,2,6,2,4,14,14,18072017,154112,4,halfRandom,control,clockwise,counterclockwise,clockwise,A,B,A
descriptiveTreatmentCondition1,58,B00,2,6,2,4,1,1,18072017,153223,4,halfRandom,treatment,clockwise,counterclockwise,counterclockwise,A,B,B
descriptiveTreatmentCondition1,58,B00,3,6,1,9,2,2,18072017,153233,4,halfRandom,control,clockwise,counterclockwise,clockwise,B,A,B
descriptiveTreatmentCondition1,58,B00,2,6,4,6,3,3,18072017,153242,4,halfRandom,treatment,counterclockwise,clockwise,clockwise,B,A,A
descriptiveTreatmentCondition1,58,B00,2,6,6,8,4,4,18072017,153251,4,halfRandom,control,counterclockwise,clockwise,counterclockwise,B,A,B
descriptiveTreatmentCondition1,58,B00,2,6,1,3,5,5,18072017,153300,4,halfRandom,treatment,counterclockwise,clockwise,clockwise,B,A,A
descriptiveTreatmentCondition1,58,B00,1,2,1,1,6,6,18072017,153304,4,halfRandom,control,clockwise,counterclockwise,clockwise,A,B,A
descriptiveTreatmentCondition1,58,B00,3,6,2,10,7,7,18072017,153321,4,halfRandom,control,counterclockwise,clockwise,counterclockwise,B,A,B
descriptiveTreatmentCondition1,58,B00,2,6,3,5,8,8,18072017,153324,4,halfRandom,treatment,clockwise,counterclockwise,counterclockwise,A,B,B
descriptiveTreatmentCondition1,58,B00,2,6,5,7,9,9,18072017,153327,4,halfRandom,control,clockwise,counterclockwise,clockwise,B,A,B
descriptiveTreatmentCondition1,58,B00,3,6,6,14,10,10,18072017,153333,4,halfRandom,control,clockwise,counterclockwise,clockwise,B,A,B
descriptiveTreatmentCondition1,58,B00,1,2,2,2,11,11,18072017,153336,4,halfRandom,control,counterclockwise,clockwise,counterclockwise,A,B,A
descriptiveTreatmentCondition1,58,B00,3,6,5,13,12,12,18072017,153342,4,halfRandom,treatment,clockwise,counterclockwise,counterclockwise,A,B,B
descriptiveTreatmentCondition1,58,B00,3,6,4,12,13,13,18072017,153353,4,halfRandom,control,clockwise,counterclockwise,clockwise,B,A,B
descriptiveTreatmentCondition1,58,B00,3,6,3,11,14,14,18072017,153403,4,halfRandom,control,clockwise,counterclockwise,clockwise,B,A,B
descriptiveControl,57,A00,2,6,6,8,1,1,18072017,152612,4,halfRandom,control,counterclockwise,clockwise,counterclockwise,B,A,B
descriptiveControl,57,A00,2,6,1,3,2,2,18072017,152618,4,halfRandom,treatment,counterclockwise,clockwise,clockwise,B,A,A
descriptiveControl,57,A00,1,2,2,2,3,3,18072017,152622,4,halfRandom,control,counterclockwise,clockwise,counterclockwise,B,A,B
descriptiveControl,57,A00,3,6,3,11,4,4,18072017,152633,4,halfRandom,treatment,counterclockwise,clockwise,clockwise,A,B,B
descriptiveControl,57,A00,2,6,4,6,5,5,18072017,152636,4,halfRandom,treatment,clockwise,counterclockwise,counterclockwise,B,A,A
descriptiveControl,57,A00,2,6,2,4,6,6,18072017,152640,4,halfRandom,treatment,clockwise,counterclockwise,counterclockwise,A,B,B
descriptiveControl,57,A00,2,6,5,7,7,7,18072017,152643,4,halfRandom,control,clockwise,counterclockwise,clockwise,B,A,B
descriptiveControl,57,A00,3,6,4,12,8,8,18072017,152650,4,halfRandom,treatment,clockwise,counterclockwise,counterclockwise,A,B,B
descriptiveControl,57,A00,3,6,5,13,9,9,18072017,152653,4,halfRandom,treatment,clockwise,counterclockwise,counterclockwise,B,A,A
descriptiveControl,57,A00,3,6,6,14,10,10,18072017,152700,4,halfRandom,treatment,counterclockwise,clockwise,clockwise,A,B,B
descriptiveControl,57,A00,2,6,3,5,11,11,18072017,152702,4,halfRandom,treatment,clockwise,counterclockwise,counterclockwise,A,B,B
descriptiveControl,57,A00,3,6,2,10,12,12,18072017,152706,4,halfRandom,treatment,clockwise,counterclockwise,counterclockwise,A,B,B
descriptiveControl,57,A00,1,2,1,1,13,13,18072017,152709,4,halfRandom,control,counterclockwise,clockwise,counterclockwise,B,A,B
descriptiveControl,57,A00,3,6,1,9,14,14,18072017,152715,4,halfRandom,control,clockwise,counterclockwise,clockwise,B,A,B
descriptiveTreatmentCondition1,56,C00,2,6,5,7,1,1,18072017,141848,4,halfRandom,control,counterclockwise,clockwise,counterclockwise,B,A,B
descriptiveTreatmentCondition1,56,C00,1,2,1,1,2,2,18072017,141850,4,halfRandom,control,counterclockwise,clockwise,counterclockwise,B,A,B
descriptiveTreatmentCondition1,56,C00,3,6,4,12,3,3,18072017,141911,4,halfRandom,control,clockwise,counterclockwise,clockwise,A,B,A
descriptiveTreatmentCondition1,56,C00,2,6,3,5,4,4,18072017,141917,4,halfRandom,treatment,clockwise,counterclockwise,counterclockwise,A,B,B
descriptiveTreatmentCondition1,56,C00,2,6,1,3,5,5,18072017,141921,4,halfRandom,control,clockwise,counterclockwise,clockwise,B,A,B
descriptiveTreatmentCondition1,56,C00,2,6,4,6,6,6,18072017,141924,4,halfRandom,treatment,counterclockwise,clockwise,clockwise,A,B,B
descriptiveTreatmentCondition1,56,C00,1,2,2,2,7,7,18072017,141926,4,halfRandom,control,counterclockwise,clockwise,counterclockwise,A,B,A
descriptiveTreatmentCondition1,56,C00,2,6,2,4,8,8,18072017,141930,4,halfRandom,control,clockwise,counterclockwise,clockwise,B,A,B
descriptiveTreatmentCondition1,56,C00,3,6,3,11,9,9,18072017,141943,4,halfRandom,control,counterclockwise,clockwise,counterclockwise,B,A,B
descriptiveTreatmentCondition1,56,C00,2,6,6,8,10,10,18072017,141947,4,halfRandom,control,clockwise,counterclockwise,clockwise,A,B,A
descriptiveTreatmentCondition1,56,C00,3,6,5,13,11,11,18072017,141955,4,halfRandom,treatment,counterclockwise,clockwise,clockwise,A,B,B
descriptiveTreatmentCondition1,56,C00,3,6,2,10,12,12,18072017,142002,4,halfRandom,control,counterclockwise,clockwise,counterclockwise,B,A,B
descriptiveTreatmentCondition1,56,C00,3,6,1,9,13,13,18072017,142015,4,halfRandom,treatment,clockwise,counterclockwise,counterclockwise,B,A,A
descriptiveTreatmentCondition1,56,C00,3,6,6,14,14,14,18072017,142027,4,halfRandom,control,clockwise,counterclockwise,clockwise,A,B,A
descriptiveControl,55,B00,2,6,6,8,1,1,18072017,143311,4,halfRandom,control,clockwise,counterclockwise,clockwise,B,A,B
descriptiveControl,55,B00,3,6,4,12,2,2,18072017,143352,4,halfRandom,treatment,counterclockwise,clockwise,clockwise,B,A,A
descriptiveControl,55,B00,3,6,3,11,3,3,18072017,143415,4,halfRandom,treatment,clockwise,counterclockwise,counterclockwise,A,B,B
descriptiveControl,55,B00,2,6,3,5,4,4,18072017,143432,4,halfRandom,treatment,counterclockwise,clockwise,clockwise,A,B,B
descriptiveControl,55,B00,3,6,2,10,5,5,18072017,143442,4,halfRandom,treatment,counterclockwise,clockwise,clockwise,B,A,A
descriptiveControl,55,B00,2,6,4,6,6,6,18072017,143450,4,halfRandom,treatment,clockwise,counterclockwise,counterclockwise,A,B,B
descriptiveControl,55,B00,1,2,2,2,7,7,18072017,143456,4,halfRandom,control,clockwise,counterclockwise,clockwise,B,A,B
descriptiveControl,55,B00,1,2,1,1,8,8,18072017,143502,4,halfRandom,control,counterclockwise,clockwise,counterclockwise,B,A,B
descriptiveControl,55,B00,3,6,6,14,9,9,18072017,143526,4,halfRandom,control,counterclockwise,clockwise,counterclockwise,B,A,B
descriptiveControl,55,B00,2,6,5,7,10,10,18072017,143536,4,halfRandom,control,counterclockwise,clockwise,counterclockwise,A,B,A
descriptiveControl,55,B00,3,6,1,9,11,11,18072017,143544,4,halfRandom,treatment,clockwise,counterclockwise,counterclockwise,B,A,A
descriptiveControl,55,B00,2,6,1,3,12,12,18072017,143602,4,halfRandom,control,clockwise,counterclockwise,clockwise,A,B,A
descriptiveControl,55,B00,3,6,5,13,13,13,18072017,143618,4,halfRandom,treatment,counterclockwise,clockwise,clockwise,B,A,A
descriptiveControl,55,B00,2,6,2,4,14,14,18072017,143632,4,halfRandom,control,clockwise,counterclockwise,clockwise,A,B,A
descriptiveTreatmentCondition1,54,A00,3,6,3,11,1,1,18072017,143514,4,halfRandom,control,counterclockwise,clockwise,counterclockwise,B,A,B
descriptiveTreatmentCondition1,54,A00,2,6,5,7,2,2,18072017,143546,4,halfRandom,control,clockwise,counterclockwise,clockwise,A,B,A
descriptiveTreatmentCondition1,54,A00,2,6,2,4,3,3,18072017,143554,4,halfRandom,treatment,clockwise,counterclockwise,counterclockwise,B,A,A
descriptiveTreatmentCondition1,54,A00,3,6,1,9,4,4,18072017,143608,4,halfRandom,treatment,clockwise,counterclockwise,counterclockwise,A,B,B
descriptiveTreatmentCondition1,54,A00,2,6,4,6,5,5,18072017,143613,4,halfRandom,treatment,counterclockwise,clockwise,clockwise,B,A,A
descriptiveTreatmentCondition1,54,A00,2,6,1,3,6,6,18072017,143617,4,halfRandom,treatment,counterclockwise,clockwise,clockwise,B,A,A
descriptiveTreatmentCondition1,54,A00,3,6,5,13,7,7,18072017,143625,4,halfRandom,treatment,counterclockwise,clockwise,clockwise,A,B,B
descriptiveTreatmentCondition1,54,A00,2,6,6,8,8,8,18072017,143628,4,halfRandom,control,clockwise,counterclockwise,clockwise,A,B,A
descriptiveTreatmentCondition1,54,A00,3,6,4,12,9,9,18072017,143642,4,halfRandom,treatment,clockwise,counterclockwise,counterclockwise,B,A,A
descriptiveTreatmentCondition1,54,A00,3,6,6,14,10,10,18072017,143651,4,halfRandom,treatment,clockwise,counterclockwise,counterclockwise,A,B,B
descriptiveTreatmentCondition1,54,A00,1,2,1,1,11,11,18072017,143657,4,halfRandom,control,counterclockwise,clockwise,counterclockwise,A,B,A
descriptiveTreatmentCondition1,54,A00,1,2,2,2,12,12,18072017,143701,4,halfRandom,control,counterclockwise,clockwise,counterclockwise,A,B,A
descriptiveTreatmentCondition1,54,A00,3,6,2,10,13,13,18072017,143706,4,halfRandom,control,clockwise,counterclockwise,clockwise,A,B,A
descriptiveTreatmentCondition1,54,A00,2,6,3,5,14,14,18072017,143715,4,halfRandom,treatment,counterclockwise,clockwise,clockwise,A,B,B
descriptiveControl,53,F00,2,6,5,7,1,1,18072017,122537,4,halfRandom,control,counterclockwise,clockwise,counterclockwise,A,B,A
descriptiveControl,53,F00,1,2,2,2,2,2,18072017,122543,4,halfRandom,control,clockwise,counterclockwise,clockwise,B,A,B
descriptiveControl,53,F00,3,6,5,13,3,3,18072017,122550,4,halfRandom,treatment,clockwise,counterclockwise,counterclockwise,A,B,B
descriptiveControl,53,F00,2,6,6,8,4,4,18072017,122602,4,halfRandom,control,clockwise,counterclockwise,clockwise,A,B,A
descriptiveControl,53,F00,2,6,2,4,5,5,18072017,122608,4,halfRandom,control,counterclockwise,clockwise,counterclockwise,B,A,B
descriptiveControl,53,F00,1,2,1,1,6,6,18072017,122612,4,halfRandom,control,clockwise,counterclockwise,clockwise,A,B,A
descriptiveControl,53,F00,2,6,4,6,7,7,18072017,122615,4,halfRandom,treatment,counterclockwise,clockwise,clockwise,A,B,B
descriptiveControl,53,F00,3,6,6,14,8,8,18072017,122631,4,halfRandom,treatment,counterclockwise,clockwise,clockwise,A,B,B
descriptiveControl,53,F00,2,6,3,5,9,9,18072017,122634,4,halfRandom,treatment,clockwise,counterclockwise,counterclockwise,B,A,A
descriptiveControl,53,F00,3,6,4,12,10,10,18072017,122640,4,halfRandom,treatment,counterclockwise,clockwise,clockwise,B,A,A
descriptiveControl,53,F00,2,6,1,3,11,11,18072017,122644,4,halfRandom,control,counterclockwise,clockwise,counterclockwise,A,B,A
descriptiveControl,53,F00,3,6,3,11,12,12,18072017,122657,4,halfRandom,treatment,clockwise,counterclockwise,counterclockwise,A,B,B
descriptiveControl,53,F00,3,6,1,9,13,13,18072017,122703,4,halfRandom,treatment,clockwise,counterclockwise,counterclockwise,B,A,A
descriptiveControl,53,F00,3,6,2,10,14,14,18072017,122714,4,halfRandom,treatment,counterclockwise,clockwise,clockwise,A,B,B
descriptiveTreatmentCondition1,52,C00,2,6,5,7,1,1,18072017,122107,4,halfRandom,control,counterclockwise,clockwise,counterclockwise,B,A,B
descriptiveTreatmentCondition1,52,C00,1,2,2,2,2,2,18072017,122112,4,halfRandom,control,counterclockwise,clockwise,counterclockwise,A,B,A
descriptiveTreatmentCondition1,52,C00,1,2,1,1,3,3,18072017,122120,4,halfRandom,control,clockwise,counterclockwise,clockwise,B,A,B
descriptiveTreatmentCondition1,52,C00,3,6,2,10,4,4,18072017,122127,4,halfRandom,treatment,clockwise,counterclockwise,counterclockwise,A,B,B
descriptiveTreatmentCondition1,52,C00,3,6,5,13,5,5,18072017,122130,4,halfRandom,treatment,clockwise,counterclockwise,counterclockwise,A,B,B
descriptiveTreatmentCondition1,52,C00,2,6,3,5,6,6,18072017,122137,4,halfRandom,treatment,counterclockwise,clockwise,clockwise,B,A,A
descriptiveTreatmentCondition1,52,C00,3,6,3,11,7,7,18072017,122141,4,halfRandom,control,clockwise,counterclockwise,clockwise,A,B,A
descriptiveTreatmentCondition1,52,C00,3,6,1,9,8,8,18072017,122146,4,halfRandom,treatment,clockwise,counterclockwise,counterclockwise,B,A,A
descriptiveTreatmentCondition1,52,C00,3,6,6,14,9,9,18072017,122156,4,halfRandom,control,clockwise,counterclockwise,clockwise,B,A,B
descriptiveTreatmentCondition1,52,C00,3,6,4,12,10,10,18072017,122200,4,halfRandom,treatment,clockwise,counterclockwise,counterclockwise,B,A,A
descriptiveTreatmentCondition1,52,C00,2,6,2,4,11,11,18072017,122204,4,halfRandom,treatment,clockwise,counterclockwise,counterclockwise,B,A,A
descriptiveTreatmentCondition1,52,C00,2,6,6,8,12,12,18072017,122207,4,halfRandom,control,counterclockwise,clockwise,counterclockwise,A,B,A
descriptiveTreatmentCondition1,52,C00,2,6,1,3,13,13,18072017,122210,4,halfRandom,treatment,counterclockwise,clockwise,clockwise,A,B,B
descriptiveTreatmentCondition1,52,C00,2,6,4,6,14,14,18072017,122213,4,halfRandom,treatment,clockwise,counterclockwise,counterclockwise,A,B,B
descriptiveControl,51,B00,2,6,3,5,1,1,18072017,122128,4,halfRandom,treatment,counterclockwise,clockwise,clockwise,B,A,A
descriptiveControl,51,B00,2,6,4,6,2,2,18072017,122136,4,halfRandom,treatment,counterclockwise,clockwise,clockwise,A,B,B
descriptiveControl,51,B00,1,2,2,2,3,3,18072017,122145,4,halfRandom,control,counterclockwise,clockwise,counterclockwise,A,B,A
descriptiveControl,51,B00,2,6,6,8,4,4,18072017,122152,4,halfRandom,control,counterclockwise,clockwise,counterclockwise,B,A,B
descriptiveControl,51,B00,3,6,1,9,5,5,18072017,122202,4,halfRandom,treatment,clockwise,counterclockwise,counterclockwise,B,A,A
descriptiveControl,51,B00,2,6,5,7,6,6,18072017,122207,4,halfRandom,control,counterclockwise,clockwise,counterclockwise,A,B,A
descriptiveControl,51,B00,3,6,2,10,7,7,18072017,122215,4,halfRandom,treatment,clockwise,counterclockwise,counterclockwise,A,B,B
descriptiveControl,51,B00,2,6,2,4,8,8,18072017,122220,4,halfRandom,treatment,clockwise,counterclockwise,counterclockwise,A,B,B
descriptiveControl,51,B00,3,6,3,11,9,9,18072017,122242,4,halfRandom,control,clockwise,counterclockwise,clockwise,A,B,A
descriptiveControl,51,B00,3,6,4,12,10,10,18072017,122251,4,halfRandom,treatment,counterclockwise,clockwise,clockwise,B,A,A
descriptiveControl,51,B00,1,2,1,1,11,11,18072017,122304,4,halfRandom,control,counterclockwise,clockwise,counterclockwise,A,B,A
descriptiveControl,51,B00,2,6,1,3,12,12,18072017,122308,4,halfRandom,treatment,counterclockwise,clockwise,clockwise,A,B,B
descriptiveControl,51,B00,3,6,6,14,13,13,18072017,122321,4,halfRandom,treatment,counterclockwise,clockwise,clockwise,A,B,B
descriptiveControl,51,B00,3,6,5,13,14,14,18072017,122327,4,halfRandom,treatment,counterclockwise,clockwise,clockwise,A,B,B
descriptiveTreatmentCondition1,50,A00,2,6,6,8,1,1,18072017,124021,4,halfRandom,control,counterclockwise,clockwise,counterclockwise,A,B,A
descriptiveTreatmentCondition1,50,A00,3,6,5,13,2,2,18072017,124056,4,halfRandom,treatment,clockwise,counterclockwise,counterclockwise,B,A,A
descriptiveTreatmentCondition1,50,A00,3,6,2,10,3,3,18072017,124101,4,halfRandom,treatment,clockwise,counterclockwise,counterclockwise,A,B,B
descriptiveTreatmentCondition1,50,A00,2,6,3,5,4,4,18072017,124105,4,halfRandom,control,counterclockwise,clockwise,counterclockwise,B,A,B
descriptiveTreatmentCondition1,50,A00,3,6,6,14,5,5,18072017,124109,4,halfRandom,control,clockwise,counterclockwise,clockwise,B,A,B
descriptiveTreatmentCondition1,50,A00,3,6,1,9,6,6,18072017,124111,4,halfRandom,treatment,counterclockwise,clockwise,clockwise,B,A,A
descriptiveTreatmentCondition1,50,A00,2,6,2,4,7,7,18072017,124114,4,halfRandom,control,counterclockwise,clockwise,counterclockwise,A,B,A
descriptiveTreatmentCondition1,50,A00,3,6,4,12,8,8,18072017,124116,4,halfRandom,control,counterclockwise,clockwise,counterclockwise,A,B,A
descriptiveTreatmentCondition1,50,A00,1,2,2,2,9,9,18072017,124118,4,halfRandom,control,clockwise,counterclockwise,clockwise,A,B,A
descriptiveTreatmentCondition1,50,A00,2,6,5,7,10,10,18072017,124120,4,halfRandom,control,counterclockwise,clockwise,counterclockwise,A,B,A
descriptiveTreatmentCondition1,50,A00,3,6,3,11,11,11,18072017,124122,4,halfRandom,control,clockwise,counterclockwise,clockwise,B,A,B
descriptiveTreatmentCondition1,50,A00,1,2,1,1,12,12,18072017,124124,4,halfRandom,treatment,clockwise,counterclockwise,counterclockwise,B,A,A
descriptiveTreatmentCondition1,50,A00,2,6,4,6,13,13,18072017,124128,4,halfRandom,treatment,clockwise,counterclockwise,counterclockwise,B,A,A
descriptiveTreatmentCondition1,50,A00,2,6,1,3,14,14,18072017,124129,4,halfRandom,control,clockwise,counterclockwise,clockwise,A,B,A
descriptiveControl,49,F00,3,6,5,13,1,1,18072017,105107,4,halfRandom,control,counterclockwise,clockwise,counterclockwise,A,B,A
descriptiveControl,49,F00,3,6,2,10,2,2,18072017,105121,4,halfRandom,control,clockwise,counterclockwise,clockwise,A,B,A
descriptiveControl,49,F00,3,6,6,14,3,3,18072017,105151,4,halfRandom,control,clockwise,counterclockwise,clockwise,B,A,B
descriptiveControl,49,F00,1,2,1,1,4,4,18072017,105205,4,halfRandom,control,counterclockwise,clockwise,counterclockwise,A,B,A
descriptiveControl,49,F00,3,6,4,12,5,5,18072017,105220,4,halfRandom,treatment,clockwise,counterclockwise,counterclockwise,A,B,B
descriptiveControl,49,F00,3,6,1,9,6,6,18072017,105235,4,halfRandom,control,counterclockwise,clockwise,counterclockwise,B,A,B
descriptiveControl,49,F00,2,6,3,5,7,7,18072017,105253,4,halfRandom,treatment,clockwise,counterclockwise,counterclockwise,B,A,A
descriptiveControl,49,F00,2,6,5,7,8,8,18072017,105310,4,halfRandom,control,counterclockwise,clockwise,counterclockwise,B,A,B
descriptiveControl,49,F00,2,6,1,3,9,9,18072017,105319,4,halfRandom,control,clockwise,counterclockwise,clockwise,A,B,A
descriptiveControl,49,F00,1,2,2,2,10,10,18072017,105327,4,halfRandom,control,counterclockwise,clockwise,counterclockwise,B,A,B
descriptiveControl,49,F00,2,6,6,8,11,11,18072017,105341,4,halfRandom,control,clockwise,counterclockwise,clockwise,B,A,B
descriptiveControl,49,F00,3,6,3,11,12,12,18072017,105417,4,halfRandom,treatment,clockwise,counterclockwise,counterclockwise,A,B,B
descriptiveControl,49,F00,2,6,2,4,13,13,18072017,105424,4,halfRandom,control,counterclockwise,clockwise,counterclockwise,A,B,A
descriptiveControl,49,F00,2,6,4,6,14,14,18072017,105435,4,halfRandom,treatment,counterclockwise,clockwise,clockwise,B,A,A
descriptiveTreatmentCondition1,48,C00,1,2,1,1,1,1,18072017,103203,4,halfRandom,control,clockwise,counterclockwise,clockwise,B,A,B
descriptiveTreatmentCondition1,48,C00,3,6,6,14,2,2,18072017,103242,4,halfRandom,treatment,counterclockwise,clockwise,clockwise,A,B,B
descriptiveTreatmentCondition1,48,C00,3,6,1,9,3,3,18072017,103248,4,halfRandom,control,counterclockwise,clockwise,counterclockwise,A,B,A
descriptiveTreatmentCondition1,48,C00,3,6,2,10,4,4,18072017,103255,4,halfRandom,treatment,clockwise,counterclockwise,counterclockwise,B,A,A
descriptiveTreatmentCondition1,48,C00,2,6,3,5,5,5,18072017,103300,4,halfRandom,control,clockwise,counterclockwise,clockwise,A,B,A
descriptiveTreatmentCondition1,48,C00,2,6,6,8,6,6,18072017,103303,4,halfRandom,treatment,clockwise,counterclockwise,counterclockwise,A,B,B
