EXPERIMENTALCONDITION,PARTICIPANTID,COMPUTERID,EXPERIMENT,DPS,BLOCKDP,DP,ABSORDER,RELORDER,DATE,TIME,NDESCRIPTIVETRIALS,LEARNINGMODE,PREFERREDROUTE,CONTROLROUTE_C,TREATMENTROUTE_T,PREFERREDDIRECTION,CONTROLALTERNATIVE_C,TREATMENTALTERNATIVE_T,PREFERREDALTERNATIVE_T
descriptiveControl,73,C00,2,6,6,8,10,10,19072017,121412,4,halfRandom,control,counterclockwise,clockwise,counterclockwise,B,A,B
descriptiveControl,73,C00,2,6,4,6,11,11,19072017,121414,4,halfRandom,control,clockwise,counterclockwise,clockwise,B,A,B
descriptiveControl,73,C00,2,6,3,5,12,12,19072017,121425,4,halfRandom,control,clockwise,counterclockwise,clockwise,A,B,A
descriptiveControl,73,C00,2,6,2,4,13,13,19072017,121429,4,halfRandom,treatment,counterclockwise,clockwise,clockwise,B,A,A
descriptiveControl,73,C00,1,2,2,2,14,14,19072017,121431,4,halfRandom,control,counterclockwise,clockwise,counterclockwise,A,B,A
descriptiveTreatmentCondition1,72,B00,2,6,3,5,1,1,19072017,123130,4,halfRandom,treatment,counterclockwise,clockwise,clockwise,A,B,B
descriptiveTreatmentCondition1,72,B00,1,2,1,1,2,2,19072017,123137,4,halfRandom,control,clockwise,counterclockwise,clockwise,B,A,B
descriptiveTreatmentCondition1,72,B00,3,6,6,14,3,3,19072017,123152,4,halfRandom,control,counterclockwise,clockwise,counterclockwise,A,B,A
descriptiveTreatmentCondition1,72,B00,2,6,4,6,4,4,19072017,123156,4,halfRandom,treatment,counterclockwise,clockwise,clockwise,A,B,B
descriptiveTreatmentCondition1,72,B00,2,6,1,3,5,5,19072017,123201,4,halfRandom,control,clockwise,counterclockwise,clockwise,A,B,A
descriptiveTreatmentCondition1,72,B00,3,6,2,10,6,6,19072017,123209,4,halfRandom,treatment,counterclockwise,clockwise,clockwise,B,A,A
descriptiveTreatmentCondition1,72,B00,3,6,4,12,7,7,19072017,123213,4,halfRandom,treatment,counterclockwise,clockwise,clockwise,A,B,B
descriptiveTreatmentCondition1,72,B00,2,6,6,8,8,8,19072017,123219,4,halfRandom,treatment,clockwise,counterclockwise,counterclockwise,B,A,A
descriptiveTreatmentCondition1,72,B00,1,2,2,2,9,9,19072017,123224,4,halfRandom,control,counterclockwise,clockwise,counterclockwise,A,B,A
descriptiveTreatmentCondition1,72,B00,3,6,3,11,10,10,19072017,123227,4,halfRandom,control,clockwise,counterclockwise,clockwise,B,A,B
descriptiveTreatmentCondition1,72,B00,2,6,2,4,11,11,19072017,123231,4,halfRandom,control,clockwise,counterclockwise,clockwise,B,A,B
descriptiveTreatmentCondition1,72,B00,3,6,1,9,12,12,19072017,123234,4,halfRandom,treatment,clockwise,counterclockwise,counterclockwise,B,A,A
descriptiveTreatmentCondition1,72,B00,2,6,5,7,13,13,19072017,123238,4,halfRandom,treatment,clockwise,counterclockwise,counterclockwise,B,A,A
descriptiveTreatmentCondition1,72,B00,3,6,5,13,14,14,19072017,123243,4,halfRandom,treatment,clockwise,counterclockwise,counterclockwise,B,A,A
descriptiveControl,71,A00,3,6,5,13,1,1,19072017,124135,4,halfRandom,treatment,clockwise,counterclockwise,counterclockwise,A,B,B
descriptiveControl,71,A00,2,6,3,5,2,2,19072017,124152,4,halfRandom,control,counterclockwise,clockwise,counterclockwise,B,A,B
descriptiveControl,71,A00,1,2,2,2,3,3,19072017,124200,4,halfRandom,control,counterclockwise,clockwise,counterclockwise,B,A,B
descriptiveControl,71,A00,3,6,6,14,4,4,19072017,124240,4,halfRandom,control,clockwise,counterclockwise,clockwise,A,B,A
descriptiveControl,71,A00,3,6,1,9,5,5,19072017,124251,4,halfRandom,treatment,counterclockwise,clockwise,clockwise,B,A,A
descriptiveControl,71,A00,2,6,1,3,6,6,19072017,124258,4,halfRandom,control,counterclockwise,clockwise,counterclockwise,B,A,B
descriptiveControl,71,A00,3,6,2,10,7,7,19072017,124308,4,halfRandom,treatment,clockwise,counterclockwise,counterclockwise,B,A,A
descriptiveControl,71,A00,1,2,1,1,8,8,19072017,124316,4,halfRandom,control,clockwise,counterclockwise,clockwise,A,B,A
descriptiveControl,71,A00,3,6,4,12,9,9,19072017,124325,4,halfRandom,treatment,counterclockwise,clockwise,clockwise,B,A,A
descriptiveControl,71,A00,2,6,4,6,10,10,19072017,124334,4,halfRandom,control,clockwise,counterclockwise,clockwise,B,A,B
descriptiveControl,71,A00,2,6,6,8,11,11,19072017,124342,4,halfRandom,treatment,counterclockwise,clockwise,clockwise,A,B,B
descriptiveControl,71,A00,2,6,5,7,12,12,19072017,124347,4,halfRandom,treatment,counterclockwise,clockwise,clockwise,A,B,B
descriptiveControl,71,A00,3,6,3,11,13,13,19072017,124416,4,halfRandom,treatment,counterclockwise,clockwise,clockwise,A,B,B
descriptiveControl,71,A00,2,6,2,4,14,14,19072017,124421,4,halfRandom,control,counterclockwise,clockwise,counterclockwise,B,A,B
descriptiveTreatmentCondition1,70,C00,1,2,1,1,1,1,19072017,103955,4,halfRandom,control,clockwise,counterclockwise,clockwise,A,B,A
descriptiveTreatmentCondition1,70,C00,2,6,6,8,2,2,19072017,104002,4,halfRandom,control,counterclockwise,clockwise,counterclockwise,B,A,B
descriptiveTreatmentCondition1,70,C00,3,6,6,14,3,3,19072017,104031,4,halfRandom,control,clockwise,counterclockwise,clockwise,A,B,A
descriptiveTreatmentCondition1,70,C00,2,6,5,7,4,4,19072017,104038,4,halfRandom,treatment,clockwise,counterclockwise,counterclockwise,B,A,A
descriptiveTreatmentCondition1,70,C00,3,6,5,13,5,5,19072017,104048,4,halfRandom,control,counterclockwise,clockwise,counterclockwise,B,A,B
descriptiveTreatmentCondition1,70,C00,3,6,2,10,6,6,19072017,104101,4,halfRandom,control,clockwise,counterclockwise,clockwise,A,B,A
descriptiveTreatmentCondition1,70,C00,2,6,3,5,7,7,19072017,104114,4,halfRandom,treatment,counterclockwise,clockwise,clockwise,A,B,B
descriptiveTreatmentCondition1,70,C00,2,6,2,4,8,8,19072017,104119,4,halfRandom,control,clockwise,counterclockwise,clockwise,A,B,A
descriptiveTreatmentCondition1,70,C00,3,6,4,12,9,9,19072017,104128,4,halfRandom,control,clockwise,counterclockwise,clockwise,B,A,B
descriptiveTreatmentCondition1,70,C00,1,2,2,2,10,10,19072017,104135,4,halfRandom,control,counterclockwise,clockwise,counterclockwise,A,B,A
descriptiveTreatmentCondition1,70,C00,3,6,1,9,11,11,19072017,104157,4,halfRandom,control,clockwise,counterclockwise,clockwise,B,A,B
descriptiveTreatmentCondition1,70,C00,3,6,3,11,12,12,19072017,104222,4,halfRandom,treatment,counterclockwise,clockwise,clockwise,A,B,B
descriptiveTreatmentCondition1,70,C00,2,6,1,3,13,13,19072017,104227,4,halfRandom,control,counterclockwise,clockwise,counterclockwise,B,A,B
descriptiveTreatmentCondition1,70,C00,2,6,4,6,14,14,19072017,104232,4,halfRandom,treatment,counterclockwise,clockwise,clockwise,A,B,B
descriptiveControl,69,B00,2,6,4,6,1,1,19072017,104103,4,halfRandom,treatment,clockwise,counterclockwise,counterclockwise,A,B,B
descriptiveControl,69,B00,3,6,6,14,2,2,19072017,104112,4,halfRandom,control,counterclockwise,clockwise,counterclockwise,B,A,B
descriptiveControl,69,B00,3,6,1,9,3,3,19072017,104121,4,halfRandom,treatment,counterclockwise,clockwise,clockwise,B,A,A
descriptiveControl,69,B00,1,2,2,2,4,4,19072017,104128,4,halfRandom,control,clockwise,counterclockwise,clockwise,B,A,B
descriptiveControl,69,B00,2,6,5,7,5,5,19072017,104138,4,halfRandom,control,clockwise,counterclockwise,clockwise,A,B,A
descriptiveControl,69,B00,2,6,2,4,6,6,19072017,104144,4,halfRandom,control,clockwise,counterclockwise,clockwise,A,B,A
descriptiveControl,69,B00,3,6,4,12,7,7,19072017,104149,4,halfRandom,treatment,counterclockwise,clockwise,clockwise,B,A,A
descriptiveControl,69,B00,3,6,2,10,8,8,19072017,104200,4,halfRandom,treatment,clockwise,counterclockwise,counterclockwise,B,A,A
descriptiveControl,69,B00,1,2,1,1,9,9,19072017,104207,4,halfRandom,control,counterclockwise,clockwise,counterclockwise,A,B,A
descriptiveControl,69,B00,2,6,3,5,10,10,19072017,104213,4,halfRandom,control,clockwise,counterclockwise,clockwise,A,B,A
descriptiveControl,69,B00,3,6,3,11,11,11,19072017,104224,4,halfRandom,control,counterclockwise,clockwise,counterclockwise,A,B,A
descriptiveControl,69,B00,2,6,1,3,12,12,19072017,104229,4,halfRandom,control,counterclockwise,clockwise,counterclockwise,B,A,B
descriptiveControl,69,B00,2,6,6,8,13,13,19072017,104233,4,halfRandom,treatment,counterclockwise,clockwise,clockwise,A,B,B
descriptiveControl,69,B00,3,6,5,13,14,14,19072017,104243,4,halfRandom,treatment,counterclockwise,clockwise,clockwise,A,B,B
descriptiveTreatmentCondition1,68,A00,2,6,5,7,1,1,19072017,103534,4,halfRandom,control,counterclockwise,clockwise,counterclockwise,B,A,B
descriptiveTreatmentCondition1,68,A00,2,6,6,8,2,2,19072017,103539,4,halfRandom,control,counterclockwise,clockwise,counterclockwise,B,A,B
descriptiveTreatmentCondition1,68,A00,3,6,6,14,3,3,19072017,103551,4,halfRandom,control,counterclockwise,clockwise,counterclockwise,A,B,A
descriptiveTreatmentCondition1,68,A00,2,6,3,5,4,4,19072017,103559,4,halfRandom,treatment,counterclockwise,clockwise,clockwise,A,B,B
descriptiveTreatmentCondition1,68,A00,1,2,1,1,5,5,19072017,103606,4,halfRandom,control,counterclockwise,clockwise,counterclockwise,A,B,A
descriptiveTreatmentCondition1,68,A00,3,6,2,10,6,6,19072017,103615,4,halfRandom,treatment,clockwise,counterclockwise,counterclockwise,B,A,A
descriptiveTreatmentCondition1,68,A00,2,6,2,4,7,7,19072017,103622,4,halfRandom,control,clockwise,counterclockwise,clockwise,A,B,A
descriptiveTreatmentCondition1,68,A00,3,6,4,12,8,8,19072017,103636,4,halfRandom,treatment,counterclockwise,clockwise,clockwise,A,B,B
descriptiveTreatmentCondition1,68,A00,2,6,4,6,9,9,19072017,103647,4,halfRandom,control,counterclockwise,clockwise,counterclockwise,A,B,A
descriptiveTreatmentCondition1,68,A00,2,6,1,3,10,10,19072017,103655,4,halfRandom,control,clockwise,counterclockwise,clockwise,A,B,A
descriptiveTreatmentCondition1,68,A00,3,6,3,11,11,11,19072017,103705,4,halfRandom,treatment,clockwise,counterclockwise,counterclockwise,A,B,B
descriptiveTreatmentCondition1,68,A00,3,6,1,9,12,12,19072017,103714,4,halfRandom,control,clockwise,counterclockwise,clockwise,A,B,A
descriptiveTreatmentCondition1,68,A00,1,2,2,2,13,13,19072017,103723,4,halfRandom,control,counterclockwise,clockwise,counterclockwise,B,A,B
descriptiveTreatmentCondition1,68,A00,3,6,5,13,14,14,19072017,103735,4,halfRandom,treatment,counterclockwise,clockwise,clockwise,B,A,A
descriptiveControl,67,C00,3,6,1,9,1,1,18072017,183405,4,halfRandom,control,clockwise,counterclockwise,clockwise,A,B,A
descriptiveControl,67,C00,2,6,3,5,2,2,18072017,183440,4,halfRandom,control,counterclockwise,clockwise,counterclockwise,A,B,A
descriptiveControl,67,C00,3,6,6,14,3,3,18072017,183456,4,halfRandom,treatment,clockwise,counterclockwise,counterclockwise,A,B,B
descriptiveControl,67,C00,2,6,6,8,4,4,18072017,183506,4,halfRandom,treatment,clockwise,counterclockwise,counterclockwise,B,A,A
descriptiveControl,67,C00,3,6,4,12,5,5,18072017,183526,4,halfRandom,treatment,counterclockwise,clockwise,clockwise,A,B,B
descriptiveControl,67,C00,1,2,2,2,6,6,18072017,183537,4,halfRandom,control,counterclockwise,clockwise,counterclockwise,B,A,B
descriptiveControl,67,C00,2,6,2,4,7,7,18072017,183547,4,halfRandom,control,clockwise,counterclockwise,clockwise,A,B,A
descriptiveControl,67,C00,3,6,3,11,8,8,18072017,183611,4,halfRandom,control,counterclockwise,clockwise,counterclockwise,A,B,A
descriptiveControl,67,C00,3,6,2,10,9,9,18072017,183622,4,halfRandom,control,counterclockwise,clockwise,counterclockwise,B,A,B
descriptiveControl,67,C00,2,6,4,6,10,10,18072017,183633,4,halfRandom,control,counterclockwise,clockwise,counterclockwise,B,A,B
descriptiveControl,67,C00,2,6,1,3,11,11,18072017,183642,4,halfRandom,control,clockwise,counterclockwise,clockwise,A,B,A
descriptiveControl,67,C00,2,6,5,7,12,12,18072017,183652,4,halfRandom,treatment,clockwise,counterclockwise,counterclockwise,A,B,B
descriptiveControl,67,C00,3,6,5,13,13,13,18072017,183658,4,halfRandom,control,clockwise,counterclockwise,clockwise,A,B,A
descriptiveControl,67,C00,1,2,1,1,14,14,18072017,183707,4,halfRandom,control,clockwise,counterclockwise,clockwise,B,A,B
descriptiveTreatmentCondition1,66,B00,2,6,1,3,1,1,18072017,190020,4,halfRandom,treatment,clockwise,counterclockwise,counterclockwise,B,A,A
descriptiveTreatmentCondition1,66,B00,2,6,5,7,2,2,18072017,190030,4,halfRandom,treatment,clockwise,counterclockwise,counterclockwise,B,A,A
descriptiveTreatmentCondition1,66,B00,3,6,6,14,3,3,18072017,190049,4,halfRandom,treatment,counterclockwise,clockwise,clockwise,A,B,B
descriptiveTreatmentCondition1,66,B00,2,6,4,6,4,4,18072017,190102,4,halfRandom,control,clockwise,counterclockwise,clockwise,B,A,B
descriptiveTreatmentCondition1,66,B00,3,6,4,12,5,5,18072017,190108,4,halfRandom,treatment,clockwise,counterclockwise,counterclockwise,A,B,B
descriptiveTreatmentCondition1,66,B00,2,6,6,8,6,6,18072017,190115,4,halfRandom,treatment,counterclockwise,clockwise,clockwise,B,A,A
descriptiveTreatmentCondition1,66,B00,2,6,2,4,7,7,18072017,190119,4,halfRandom,control,counterclockwise,clockwise,counterclockwise,A,B,A
descriptiveTreatmentCondition1,66,B00,1,2,2,2,8,8,18072017,190127,4,halfRandom,control,clockwise,counterclockwise,clockwise,A,B,A
descriptiveTreatmentCondition1,66,B00,3,6,3,11,9,9,18072017,190146,4,halfRandom,control,clockwise,counterclockwise,clockwise,A,B,A
descriptiveTreatmentCondition1,66,B00,3,6,5,13,10,10,18072017,190150,4,halfRandom,treatment,clockwise,counterclockwise,counterclockwise,B,A,A
descriptiveTreatmentCondition1,66,B00,3,6,2,10,11,11,18072017,190154,4,halfRandom,treatment,clockwise,counterclockwise,counterclockwise,B,A,A
descriptiveTreatmentCondition1,66,B00,1,2,1,1,12,12,18072017,190157,4,halfRandom,control,counterclockwise,clockwise,counterclockwise,B,A,B
descriptiveTreatmentCondition1,66,B00,3,6,1,9,13,13,18072017,190203,4,halfRandom,treatment,counterclockwise,clockwise,clockwise,B,A,A
descriptiveTreatmentCondition1,66,B00,2,6,3,5,14,14,18072017,190208,4,halfRandom,control,clockwise,counterclockwise,clockwise,B,A,B
descriptiveControl,65,A00,3,6,5,13,1,1,18072017,191304,4,halfRandom,treatment,counterclockwise,clockwise,clockwise,A,B,B
descriptiveControl,65,A00,2,6,4,6,2,2,18072017,191323,4,halfRandom,control,counterclockwise,clockwise,counterclockwise,B,A,B
descriptiveControl,65,A00,2,6,3,5,3,3,18072017,191342,4,halfRandom,control,counterclockwise,clockwise,counterclockwise,A,B,A
descriptiveControl,65,A00,3,6,3,11,4,4,18072017,191355,4,halfRandom,treatment,clockwise,counterclockwise,counterclockwise,A,B,B
descriptiveControl,65,A00,3,6,2,10,5,5,18072017,191416,4,halfRandom,treatment,counterclockwise,clockwise,clockwise,B,A,A
descriptiveControl,65,A00,1,2,1,1,6,6,18072017,191438,4,halfRandom,control,clockwise,counterclockwise,clockwise,B,A,B
descriptiveControl,65,A00,1,2,2,2,7,7,18072017,191504,4,halfRandom,control,counterclockwise,clockwise,counterclockwise,A,B,A
descriptiveControl,65,A00,2,6,1,3,8,8,18072017,191519,4,halfRandom,control,clockwise,counterclockwise,clockwise,A,B,A
descriptiveControl,65,A00,3,6,6,14,9,9,18072017,191530,4,halfRandom,control,counterclockwise,clockwise,counterclockwise,A,B,A
descriptiveControl,65,A00,2,6,6,8,10,10,18072017,191542,4,halfRandom,treatment,clockwise,counterclockwise,counterclockwise,B,A,A
descriptiveControl,65,A00,3,6,1,9,11,11,18072017,191611,4,halfRandom,treatment,counterclockwise,clockwise,clockwise,A,B,B
descriptiveControl,65,A00,2,6,5,7,12,12,18072017,191620,4,halfRandom,treatment,counterclockwise,clockwise,clockwise,B,A,A
descriptiveControl,65,A00,3,6,4,12,13,13,18072017,191631,4,halfRandom,treatment,clockwise,counterclockwise,counterclockwise,B,A,A
descriptiveControl,65,A00,2,6,2,4,14,14,18072017,191637,4,halfRandom,control,clockwise,counterclockwise,clockwise,B,A,B
descriptiveTreatmentCondition1,64,F00,2,6,3,5,1,1,18072017,162620,4,halfRandom,treatment,counterclockwise,clockwise,clockwise,B,A,A
descriptiveTreatmentCondition1,64,F00,3,6,4,12,2,2,18072017,162631,4,halfRandom,control,counterclockwise,clockwise,counterclockwise,B,A,B
descriptiveTreatmentCondition1,64,F00,2,6,6,8,3,3,18072017,162638,4,halfRandom,control,clockwise,counterclockwise,clockwise,B,A,B
descriptiveTreatmentCondition1,64,F00,2,6,1,3,4,4,18072017,162645,4,halfRandom,control,counterclockwise,clockwise,counterclockwise,B,A,B
descriptiveTreatmentCondition1,64,F00,2,6,5,7,5,5,18072017,162654,4,halfRandom,control,clockwise,counterclockwise,clockwise,B,A,B
descriptiveTreatmentCondition1,64,F00,1,2,2,2,6,6,18072017,162657,4,halfRandom,control,counterclockwise,clockwise,counterclockwise,B,A,B
descriptiveTreatmentCondition1,64,F00,3,6,1,9,7,7,18072017,162705,4,halfRandom,treatment,clockwise,counterclockwise,counterclockwise,B,A,A
descriptiveTreatmentCondition1,64,F00,3,6,2,10,8,8,18072017,162710,4,halfRandom,control,counterclockwise,clockwise,counterclockwise,A,B,A
descriptiveTreatmentCondition1,64,F00,1,2,1,1,9,9,18072017,162713,4,halfRandom,control,counterclockwise,clockwise,counterclockwise,B,A,B
descriptiveTreatmentCondition1,64,F00,2,6,2,4,10,10,18072017,162717,4,halfRandom,control,counterclockwise,clockwise,counterclockwise,A,B,A
descriptiveTreatmentCondition1,64,F00,3,6,3,11,11,11,18072017,162727,4,halfRandom,control,clockwise,counterclockwise,clockwise,B,A,B
descriptiveTreatmentCondition1,64,F00,3,6,5,13,12,12,18072017,162732,4,halfRandom,treatment,counterclockwise,clockwise,clockwise,A,B,B
descriptiveTreatmentCondition1,64,F00,2,6,4,6,13,13,18072017,162735,4,halfRandom,control,clockwise,counterclockwise,clockwise,A,B,A
descriptiveTreatmentCondition1,64,F00,3,6,6,14,14,14,18072017,162742,4,halfRandom,control,clockwise,counterclockwise,clockwise,A,B,A
descriptiveControl,63,C00,2,6,3,5,1,1,18072017,165848,4,halfRandom,treatment,clockwise,counterclockwise,counterclockwise,B,A,A
descriptiveControl,63,C00,2,6,5,7,2,2,18072017,165856,4,halfRandom,control,clockwise,counterclockwise,clockwise,A,B,A
descriptiveControl,63,C00,3,6,1,9,3,3,18072017,165921,4,halfRandom,control,clockwise,counterclockwise,clockwise,A,B,A
descriptiveControl,63,C00,3,6,6,14,4,4,18072017,165957,4,halfRandom,treatment,counterclockwise,clockwise,clockwise,A,B,B
